bucket,DirPrefix,Gbytes,Costs
ws-in,CONUS/,1152.634173642844,26.510585993785412
ws-in,DelawareRiverBasin/,698.3342205761,16.0616870732503
ws-in,EastAfrica/,25.73511326033622,0.5919076049877331
ws-in,Marshall_Islands/,3.0795034440234303,0.07082857921253889
ws-in,NorthAmerica/,2360.6205078894272,54.29427168145683
ws-in,cfactor/,149.86372096277773,3.4468655821438876
ws-in,global_dT/,4.07246426679194,0.09366667813621461
ws-in,home/,9.139479291625321,0.21020802370738237
ws-out,DelawareRiverBasin/,22704.247165659443,522.1976848101672
ws-out,USA/,24050.205945254304,553.154736740849
ws-out,WOTJE/,3571.0405702861026,82.13393311658035
ws-out,good/,22.708138686604798,0.5222871897919104
ws-enduser,DelawareRiverBasin/,368.82441654987633,8.482961580647155
